iter	Logloss
0	0.674385208
1	0.6568082601
2	0.640543684
3	0.6252060612
4	0.6109782255
5	0.5976978906
6	0.5855320826
7	0.5741525657
8	0.5634856994
9	0.5537366762
10	0.5444977294
11	0.5359434504
12	0.5282480514
13	0.520980323
14	0.5140727573
15	0.50755687
16	0.5018823759
17	0.4966518493
18	0.4914164254
19	0.4868663164
20	0.4821993199
21	0.4780234086
22	0.474307599
23	0.4708886831
24	0.4674390054
25	0.4642444951
26	0.4614133817
27	0.4587093141
28	0.4559610898
29	0.4533295624
30	0.4508264069
31	0.4484764719
32	0.4463001864
33	0.4441892613
34	0.4425788465
35	0.4407254342
36	0.439294375
37	0.4377368388
38	0.4361997547
39	0.4347098517
40	0.4333993519
41	0.4323187116
42	0.431133822
43	0.4299787323
44	0.4289312393
45	0.4278967578
46	0.4269371562
47	0.4260323377
48	0.4251200212
49	0.4244440345
50	0.4235933542
51	0.4227001681
52	0.4218304715
53	0.4211359325
54	0.4203707174
55	0.419722226
56	0.4190780896
57	0.4185343012
58	0.4179998351
59	0.4174970621
60	0.4169957633
61	0.4165359873
62	0.4161099922
63	0.4155741886
64	0.4151509402
65	0.4147694192
66	0.4143356585
67	0.4140302824
68	0.4136871541
69	0.4133028716
70	0.4129685137
71	0.412706176
72	0.4123909032
73	0.4121142505
74	0.4118759926
75	0.4116398518
76	0.4113450179
77	0.4110885457
78	0.4108958432
79	0.410687344
80	0.4104954068
81	0.4102158581
82	0.4099881372
83	0.409794043
84	0.4095766365
85	0.4093841036
86	0.4092369857
87	0.4090563973
88	0.4089382436
89	0.4087939391
90	0.4086226081
91	0.4084323237
92	0.4082372769
93	0.408123762
94	0.40797653
95	0.4077878904
96	0.4076574067
97	0.4074979793
98	0.4073730284
99	0.4072016559
100	0.407089741
101	0.4069672319
102	0.4068069225
103	0.4066530748
104	0.4064903622
105	0.4063847776
106	0.4062740442
107	0.406146395
108	0.4059824161
109	0.4058736586
110	0.4057728677
111	0.405649169
112	0.4055520165
113	0.4054646299
114	0.4053768893
115	0.4052900947
116	0.4051662058
117	0.4050913846
118	0.4050178538
119	0.4049015104
120	0.4047934465
121	0.4047057839
122	0.4046311212
123	0.4045428268
124	0.4044718013
125	0.4043700019
126	0.404273494
127	0.4041692501
128	0.4041022534
129	0.4040289097
130	0.4039261333
131	0.4038624064
132	0.4037888857
133	0.4037020041
134	0.4036370174
135	0.4035590756
136	0.4034880681
137	0.403376971
138	0.4033031228
139	0.4032529337
140	0.4031648524
141	0.4031089317
142	0.4030459504
143	0.4029915315
144	0.4029284227
145	0.4028650329
146	0.402802941
147	0.4027442868
148	0.4026962425
149	0.4026544701
150	0.4025757455
151	0.4025351621
152	0.4024894385
153	0.4024033996
154	0.402332859
155	0.4022754147
156	0.4022201043
157	0.4021777927
158	0.402120204
159	0.4020730631
160	0.4020286303
161	0.401962241
162	0.4019060473
163	0.4018688032
164	0.401816391
165	0.4017762827
166	0.401728175
167	0.4016720867
168	0.4016314602
169	0.4015922577
170	0.4015497283
171	0.4014996929
172	0.4014669758
173	0.4014149687
174	0.4013756949
175	0.4013149974
176	0.4012640533
177	0.4012223594
178	0.4011750891
179	0.4011297767
180	0.4010915565
181	0.401053271
182	0.4009923149
183	0.400946076
184	0.4009011739
185	0.4008642591
186	0.4008268555
187	0.4007839065
188	0.400747355
189	0.4007046087
190	0.4006650551
191	0.4006302515
192	0.4005921515
193	0.4005734573
194	0.400545731
195	0.4004920056
196	0.4004711435
197	0.4004336794
198	0.4003972626
199	0.4003568624
200	0.4003137994
201	0.4002689931
202	0.4002358968
203	0.4002167971
204	0.4001614731
205	0.4001159434
206	0.4000919936
207	0.4000639298
208	0.4000366982
209	0.3999843651
210	0.3999300904
211	0.3998984896
212	0.3998574771
213	0.3998018059
214	0.3997804939
215	0.3997369217
216	0.3997050962
217	0.3996697958
218	0.3996375526
219	0.3996014058
220	0.3995256544
221	0.3994984891
222	0.3994780499
223	0.3994494001
224	0.3994126511
225	0.3993998745
226	0.3993782004
227	0.3993592679
228	0.3993163626
229	0.3992786292
230	0.3992362634
231	0.3992227536
232	0.3991881847
233	0.3991661264
234	0.3991336492
235	0.399094415
236	0.3990633283
237	0.3990234101
238	0.3989782317
239	0.3989422447
240	0.3989107188
241	0.3988890838
242	0.3988575038
243	0.3988385709
244	0.3987920639
245	0.3987559651
246	0.3987163936
247	0.3986980102
248	0.3986559659
249	0.3986386089
250	0.3986216756
251	0.3985950611
252	0.3985473117
253	0.3985311395
254	0.3984982436
255	0.3984503373
256	0.3984140536
257	0.3983756299
258	0.3983599581
259	0.3983227974
260	0.3982977268
261	0.3982562656
262	0.3981971681
263	0.3981836145
264	0.3981641408
265	0.3981401964
266	0.3981120648
267	0.3980879017
268	0.3980619233
269	0.398042055
270	0.3980239161
271	0.3980050071
272	0.3979629098
273	0.3979334151
274	0.3979149416
275	0.3978973644
276	0.3978725215
277	0.3978560735
278	0.397839046
279	0.3978161232
280	0.3977859473
281	0.3977545293
282	0.3977289746
283	0.3976883184
284	0.3976593654
285	0.3976212309
286	0.3975998132
287	0.3975790896
288	0.3975718391
289	0.3975459274
290	0.3975315691
291	0.397509729
292	0.397479713
293	0.3974695469
294	0.3974458647
295	0.3974224539
296	0.3973949318
297	0.3973651236
298	0.3973317547
299	0.3973137772
300	0.3972917341
301	0.3972796792
302	0.3972547226
303	0.3972456036
304	0.3972241623
305	0.3972082676
306	0.3971870129
307	0.3971762258
308	0.3971637306
309	0.3971439526
310	0.3971217463
311	0.3970991062
312	0.397069036
313	0.3970523586
314	0.3970368606
315	0.3970072305
316	0.3969760029
317	0.3969438958
318	0.3969237845
319	0.3969092325
320	0.396883686
321	0.3968709228
322	0.3968466774
323	0.3968180892
324	0.3968003884
325	0.3967847581
326	0.3967683292
327	0.3967446797
328	0.3967230151
329	0.3967012844
330	0.3966938809
331	0.396680949
332	0.3966586074
333	0.3966408916
334	0.3966170641
335	0.3966007086
336	0.3965733108
337	0.396556097
338	0.3965331154
339	0.396522311
340	0.3965035059
341	0.396490201
342	0.3964770233
343	0.3964633969
344	0.3964552258
345	0.396433947
346	0.3964185567
347	0.3964110497
348	0.3963995551
349	0.3963764401
350	0.3963684361
351	0.3963538824
352	0.3963249245
353	0.3963064417
354	0.3962841941
355	0.3962631229
356	0.3962438136
357	0.3962295808
358	0.3962103235
359	0.396188125
360	0.3961837303
361	0.3961620303
362	0.3961412476
363	0.3961255602
364	0.3961103124
365	0.3960993588
366	0.3960662319
367	0.3960453225
368	0.3960348636
369	0.3960175656
370	0.396002164
371	0.3959911259
372	0.3959691479
373	0.3959524937
374	0.3959341941
375	0.3959113812
376	0.395903026
377	0.3958756285
378	0.3958638334
379	0.3958442289
380	0.3958306298
381	0.3958069022
382	0.395789796
383	0.3957765773
384	0.3957498301
385	0.3957373959
386	0.3957181841
387	0.3956990564
388	0.3956811326
389	0.3956601498
390	0.3956448829
391	0.3956300034
392	0.395608257
393	0.3955827646
394	0.3955697252
395	0.3955622838
396	0.3955467257
397	0.3955352338
398	0.395526613
399	0.3955175379
400	0.3955068476
401	0.3954945327
402	0.395485517
403	0.3954600077
404	0.395447211
405	0.3954266835
406	0.3954114899
407	0.3953880437
408	0.395373715
409	0.3953420957
410	0.3953253575
411	0.3953070817
412	0.3952956228
413	0.3952838907
414	0.3952682208
415	0.3952417394
416	0.3952287884
417	0.3952196899
418	0.3952061923
419	0.3951885376
420	0.3951675659
421	0.3951535346
422	0.3951391704
423	0.3951284132
424	0.3951192214
425	0.3951055393
426	0.3950843723
427	0.3950666712
428	0.3950526008
429	0.3950264439
430	0.3949995684
431	0.3949727114
432	0.394961065
433	0.3949518076
434	0.3949320125
435	0.3948994881
436	0.394889439
437	0.3948681036
438	0.3948516397
439	0.3948233224
440	0.3947988139
441	0.3947801806
442	0.3947600508
443	0.3947329309
444	0.3947275572
445	0.3947033693
446	0.3946836454
447	0.3946605302
448	0.3946527072
449	0.3946370153
450	0.3946184423
451	0.3946043793
452	0.3945939116
453	0.3945803617
454	0.3945634548
455	0.3945494305
456	0.3945356891
457	0.3945220679
458	0.3945065679
459	0.3944921519
460	0.3944820135
461	0.3944698176
462	0.394450329
463	0.3944419888
464	0.3944168313
465	0.3944032664
466	0.3943896635
467	0.3943766463
468	0.3943617421
469	0.394348087
470	0.3943411147
471	0.3943165344
472	0.3942982106
473	0.3942766549
474	0.3942562771
475	0.394245753
476	0.3942295383
477	0.3942189061
478	0.3942024528
479	0.3941907994
480	0.3941841403
481	0.3941673879
482	0.3941598954
483	0.394139957
484	0.3941274677
485	0.3941097136
486	0.3940982383
487	0.3940888399
488	0.3940709044
489	0.3940595159
490	0.3940506249
491	0.394033602
492	0.3940166063
493	0.3940031235
494	0.3939858419
495	0.3939711961
496	0.3939585555
497	0.3939472749
498	0.3939297406
499	0.3939137395
500	0.3939030388
501	0.3938925706
502	0.3938711911
503	0.3938611589
504	0.3938496977
505	0.3938395869
506	0.3938311442
507	0.3938244067
508	0.3938157999
509	0.3938040991
510	0.39378502
511	0.3937724197
512	0.3937676919
513	0.3937436936
514	0.393737134
515	0.3937176014
516	0.3936830475
517	0.393671082
518	0.3936616072
519	0.3936441737
520	0.3936212487
521	0.3936067707
522	0.3935944087
523	0.3935787891
524	0.3935662379
525	0.3935572002
526	0.3935505639
527	0.3935301333
528	0.3935122192
529	0.3935001
530	0.393494903
531	0.3934851834
532	0.3934663235
533	0.3934520459
534	0.3934454412
535	0.393438858
536	0.3934204417
537	0.3934051267
538	0.3933999968
539	0.3933851318
540	0.3933769105
541	0.3933644504
542	0.3933506771
543	0.3933306954
544	0.3933159204
545	0.3933013914
546	0.3932830814
547	0.3932651552
548	0.3932550949
549	0.3932408617
550	0.3932288645
551	0.3932186813
552	0.3932037393
553	0.3931968104
554	0.3931823942
555	0.3931764849
556	0.3931665425
557	0.3931571023
558	0.3931419207
559	0.3931376206
560	0.3931235862
561	0.3931059594
562	0.3930896954
563	0.3930722981
564	0.39305763
565	0.3930423196
566	0.3930325523
567	0.3930164024
568	0.3930082762
569	0.3930011731
570	0.3929938825
571	0.3929776955
572	0.392968559
573	0.3929595818
574	0.3929503531
575	0.3929346006
576	0.392922309
577	0.3929060875
578	0.3928963933
579	0.392887036
580	0.3928778278
581	0.3928626391
582	0.3928592401
583	0.392844329
584	0.3928240447
585	0.3928055348
586	0.3927889566
587	0.3927692393
588	0.3927565229
589	0.3927395237
590	0.3927287217
591	0.3927149446
592	0.3926987821
593	0.3926905247
594	0.3926855151
595	0.392673384
596	0.3926679412
597	0.3926535307
598	0.3926494728
599	0.392634504
600	0.3926258218
601	0.3926102531
602	0.3925886763
603	0.3925779108
604	0.3925705906
605	0.3925546371
606	0.3925404853
607	0.3925203357
608	0.3925033385
609	0.3924975246
610	0.3924837984
611	0.3924729441
612	0.3924663333
613	0.3924447178
614	0.3924297545
615	0.3924131594
616	0.3923975695
617	0.3923867742
618	0.3923814215
619	0.3923668867
620	0.3923573873
621	0.3923462314
622	0.3923281276
623	0.3923109161
624	0.3922983724
625	0.3922810113
626	0.3922730067
627	0.3922625141
628	0.3922513856
629	0.3922333964
630	0.392209584
631	0.3921837093
632	0.3921685441
633	0.3921545502
634	0.3921376171
635	0.3921311611
636	0.3921169057
637	0.3921042341
638	0.3920888171
639	0.3920702017
640	0.3920575969
641	0.3920471823
642	0.39204033
643	0.3920201335
644	0.3920053742
645	0.3920006045
646	0.3919846229
647	0.3919744765
648	0.3919620729
649	0.391949595
650	0.3919453577
651	0.3919105674
652	0.3918848625
653	0.3918781651
654	0.3918590084
655	0.3918421406
656	0.3918298117
657	0.3918213518
658	0.3918062828
659	0.391802067
660	0.3917930503
661	0.3917855201
662	0.3917782037
663	0.3917583556
664	0.3917495498
665	0.3917373629
666	0.391724617
