iter	Passed	Remaining
0	593	592687
1	1163	580396
2	1689	561560
3	2243	558658
4	2791	555421
5	3338	553060
6	3824	542535
7	4525	561125
8	5158	567982
9	5813	575533
10	6390	574524
11	6915	569372
12	7510	570183
13	7993	562947
14	8580	563457
15	9150	562736
16	9708	561383
17	10197	556311
18	10747	554916
19	11283	552907
20	11797	550000
21	12311	547285
22	12852	545966
23	13397	544817
24	13903	542246
25	14424	540361
26	14948	538696
27	15481	537439
28	16018	536340
29	16566	535651
30	17076	533773
31	17646	533793
32	18121	531002
33	18607	528661
34	19165	528408
35	19642	525993
36	20151	524473
37	20635	522415
38	21107	520122
39	21631	519164
40	22153	518169
41	22733	518533
42	23189	516111
43	23697	514871
44	24168	512915
45	24637	510961
46	25136	509682
47	25670	509132
48	26179	508104
49	26708	507458
50	27246	506994
51	27810	507009
52	28338	506355
53	28879	505920
54	29401	505178
55	29964	505109
56	30509	504750
57	31079	504776
58	31604	504066
59	32179	504151
60	32746	504077
61	33277	503456
62	33806	502804
63	34379	502805
64	34917	502278
65	35442	501569
66	36005	501389
67	36534	500738
68	37083	500356
69	37657	500305
70	38157	499267
71	38683	498583
72	39255	498491
73	39850	498664
74	40356	497728
75	40894	497185
76	41427	496597
77	41959	495978
78	42479	495237
79	43030	494854
80	43549	494097
81	44125	493989
82	44644	493236
83	45263	493592
84	45779	492801
85	46338	492477
86	46835	491499
87	47387	491110
88	47919	490498
89	48491	490300
90	49027	489731
91	49564	489184
92	50144	489041
93	50673	488410
94	51228	488021
95	51796	487753
96	52345	487301
97	52867	486600
98	53438	486346
99	53928	485356
100	54489	485013
101	55022	484416
102	55584	484071
103	56105	483368
104	56681	483138
105	57242	482780
106	57764	482093
107	58337	481823
108	58900	481470
109	59436	480892
110	59958	480204
111	60538	479987
112	61067	479356
113	61631	478994
114	62180	478518
115	62749	478196
116	63300	477732
117	63873	477428
118	64383	476655
119	64989	476592
120	65634	476801
121	66089	475625
122	66658	475280
123	67266	475203
124	67924	475468
125	68625	476022
126	69287	476280
127	69944	476495
128	70683	477252
129	71477	478349
130	72199	478944
131	72744	478348
132	73337	478073
133	73908	477650
134	74463	477117
135	75037	476709
136	75579	476096
137	76186	475891
138	76706	475138
139	77271	474665
140	77785	473885
141	78361	473477
142	78883	472751
143	79428	472160
144	79992	471679
145	80553	471181
146	81127	470762
147	81661	470107
148	82223	469611
149	82774	469057
150	83288	468289
151	83804	467541
152	84405	467265
153	84946	466652
154	85507	466151
155	86043	465519
156	86607	465032
157	87140	464383
158	87708	463919
159	88272	463430
160	88792	462712
161	89334	462114
162	89846	461360
163	90393	460784
164	90914	460084
165	91536	459888
166	92056	459178
167	92576	458473
168	93090	457742
169	93634	457159
170	94157	456469
171	94702	455893
172	95250	455328
173	95807	454811
174	96340	454175
175	96874	453549
176	97453	453131
177	98033	452714
178	98543	451980
179	99061	451278
180	99638	450851
181	100149	450124
182	100702	449583
183	101207	448834
184	101758	448287
185	102311	447749
186	102837	447093
187	103365	446452
188	103932	445975
189	104467	445363
190	104976	444637
191	105524	444080
192	106063	443489
193	106504	442488
194	107047	441913
195	107578	441289
196	108143	440807
197	108705	440312
198	109244	439720
199	109794	439177
200	110344	438633
201	110893	438082
202	111414	437425
203	111945	436807
204	112584	436606
205	113177	436229
206	113709	435610
207	114223	434926
208	114756	434318
209	115325	433845
210	115799	433013
211	116359	432506
212	116890	431891
213	117436	431333
214	117967	430718
215	118512	430154
216	119076	429663
217	119664	429254
218	120211	428697
219	120735	428063
220	121282	427507
221	121822	426926
222	122401	426482
223	122938	425894
224	123494	425370
225	124022	424749
226	124550	424130
227	125102	423594
228	125637	422997
229	126200	422498
230	126728	421880
231	127231	421179
232	127792	420672
233	128348	420148
234	128931	419713
235	129505	419246
236	129967	418417
237	130532	417924
238	131133	417541
239	131666	416944
240	132197	416338
241	132731	415744
242	133255	415120
243	133829	414652
244	134371	414082
245	134913	413516
246	135464	412976
247	136037	412501
248	136553	411854
249	137111	411334
250	137640	410728
251	138353	410667
252	138961	410292
253	139492	409689
254	140065	409210
255	140572	408538
256	141109	407955
257	141629	407320
258	142138	406658
259	142675	406077
260	143224	405528
261	143744	404899
262	144327	404446
263	144843	403805
264	145401	403284
265	145930	402680
266	146472	402114
267	146998	401502
268	147448	400686
269	147964	400053
270	148520	399525
271	149021	398852
272	149602	398392
273	150059	397603
274	150593	397019
275	151117	396408
276	151662	395855
277	152153	395161
278	152677	394553
279	153222	394000
280	153763	393437
281	154289	392836
282	154921	392503
283	155455	391923
284	156007	391387
285	156563	390861
286	157107	390304
287	157646	389737
288	158195	389194
289	158732	388622
290	159281	388078
291	159872	387635
292	160411	387067
293	160958	386518
294	161467	385879
295	162006	385313
296	162542	384739
297	163093	384200
298	163602	383562
299	164148	383013
300	164644	382346
301	165134	381669
302	165677	381111
303	166253	380633
304	166817	380125
305	167408	379678
306	167974	379174
307	168459	378486
308	168987	377898
309	169538	377358
310	170122	376894
311	170661	376329
312	171225	375820
313	171768	375264
314	172306	374698
315	172834	374109
316	173422	373651
317	173954	373071
318	174461	372440
319	174989	371852
320	175536	371305
321	176066	370724
322	176640	370234
323	177135	369578
324	177720	369111
325	178206	368438
326	178736	367857
327	179269	367283
328	179830	366767
329	180370	366207
330	180838	365501
331	181344	364873
332	181891	364328
333	182428	363764
334	182974	363217
335	183524	362679
336	184061	362114
337	184605	361564
338	185160	361035
339	185696	360468
340	186265	359966
341	186833	359462
342	187379	358915
